VARIANT_SKU, NORMALIZED_ROS 
00004556-005-KI-S-004-B1, 0.02 
00004556-002-KI-M-003-B3, 0.00 
R161016-02, 1.00 
B86101-06,
D73015-01, 0.02 
S104003-01, 0.14 
00004556-003-FL-M-002-B3, -   
B86014-33, 0.49 
00004556-003-QU-M-005-B3, 0.01 
R151015-05, 0.03 
00004556-002-TW-M-002-B1, -   
P56051-01-C, 0.01 
B86017-05, 0.08 
P056072-01-C, 0.47 
R120021-02, 0.05 
B13401-01, 0.20 
TP70002-02-Q4, 0.18 
00004556-003-CK-M-005-B2, -   
00004556-001-CK-W-007-B2, -   
R141029-01, 0.07 
P84025-01-C, 0.03 
B121024-04, 0.15 
B86018-33, 0.06 
00004556-006-QU-S-004 - B3, 0.01 
00004556-001-CK-W-007-B1, -   
D136001-01, 1.00 
D143005-01, 0.39 
P56040-01-C, 0.27 
T58027-01,
R120044-05, 0.03 
B83001-03, 0.49 
00004556-001-FL-W-007-B2, -   
00004556-002-KI-M-004-B2, 0.01 
P120003-01-C, 0.66 
P120009-03-C, 0.71 
00004556-005-TW-S-005-B1, -   
00004556-006-TW-S-005-B1, -   
B86021-17,
00004556-001-FL-M-007-B3, -   
P120008-02-C, 1.02 
R93034-07, 0.03 
00004556-009-KI-S-001-B3, 0.01 
B86007-22, 0.12 
B86009-18, 0.06 
00004556-002-TW-W-002-B3, -   
C77001-01,
B86103-06, 0.01 
B86017-06, 0.02 
00004556-007-FL-S-004-B3, -   
01027841-014-TW-A-002, -   
R120044-08, 0.02 
R54009-03, 0.04 
R93012-01, 0.07 
00004556-003-TW-W-003-B3, -   
P84063-01-C, 0.24 
0118316-006-U-S-004, 0.05 
00004556-009-QU-S-006-B2, 0.00 
R93030-06,
00004556-008-QU-S-004-B3, 0.00 
B15201-01, 0.02 
00004556-001-QU-W-003-B3, -   
P84020-03-C, 0.16 
B86102-06,
00004556-009-TW-S-007-B1, -   
00004556-002-FL-M-006-B2, 0.00 
T139006-01, 0.53 
00004556-001-KI-M-004-B1, 0.01 
R120042-06, 0.07 
D84009-02-Q6,
R141027-01, 0.13 
00004556-002-FL-W-001-B3, 0.01 
00004556-003-TW-M-001-B3, -   
0118316-010-U-W-007, -   
R120018-08,
R93041-07, 0.02 
D129007-01, 0.69 
P84062-01-C, 0.47 
00004556-002-KI-M-006-B1, 0.02 
D124001-04-Q2,
R120022-05,
00004556-002-TW-W-007-B1, -   
B86002-09, 0.42 
D154004-01, 0.12 
00004556-002-QU-W-002-B2, -   
D120007-01, 0.86 
B121026-09, 0.26 
R141013-06, 0.12 
01027841-012-TW-A-000, -   
00004556-008-CK-S-001-B1, -   
D121004-03, 1.62 
00004556-007-TW-S-005-B1, -   
0118316-007-U-W-007, 0.01 
B86015-19, 0.40 
B86022-05, 0.25 
B66005-02, 1.05 
00004556-001-KI-W-005-B1, -   
00004556-009-CK-S-007-B2, -   
00004556-002-FL-M-004-B3, -   
R161016-06, 0.08 
F137001-03, 0.10 
P58016-01-C, 0.52 
B15202-08, 0.22 
00004556-006-CK-S-006-B2, 0.00 
00004556-008-QU-S-002-B3, 0.00 
00004556-008-KI-S-001-B2, 0.01 
R93024-04, 0.01 
B86009-30, 0.41 
D125002-02, 0.01 
00004556-008-CK-S-001-B3, -   
F97021-01, 0.01 
0118316-007-U-W-005, 0.00 
00004556-009-FL-S-004-B3, 0.00 
R93036-05, 0.01 
B86019-31, 0.07 
R120009-05, 0.00 
R88022-03,
00004556-003-KI-M-006-B3, -   
R120023-04,
T58003-01, 0.27 
B86018-02, 0.13 
F070001-01, 0.20 
B15206-02, 0.91 
R151015-07, 0.03 
B15207-07, 0.27 
00004556-007-TW-S-001-B3, -   
R00002-04, 1.33 
00004556-003-QU-W-005-B2, -   
00004556-002-QU-M-004-B1, 0.01 
00004556-006-KI-S-007-B3, -   
00004556-005-FL-S-007-B3, -   
00004556-002-KI-W-002-B1, 0.01 
B86017-26, 0.02 
D129003-02-F, 0.11 
R120051-08, -   
00004556-006-KI-S-005-B3, -   
R88005-03, 0.01 
002560062-017-U-S-006, 0.01 
D154002-02, 0.12 
00004556-004-TW-S-004-B1, -   
R88038-07,
00004556-005-TW-S-001-B2, -   
SWA-CRY-001, 0.27 
TP13006-01-Q6, 0.34 
B86102-09,
R158001-08, -   
00004556-009-QU-S-007-B1, 0.01 
00004556-007-TW-S-001-B2, -   
B15214-08, 0.00 
R120042-01, 0.02 
B117001-18, 0.38 
00004556-002-CK-W-006-B3, 0.00 
R120019-03, 0.16 
R106001-02,
D83002-01, 0.04 
01027841-014-KI-B-002, -   
R120047-06, 0.08 
D86002-03, 1.00 
B86025-03, 0.34 
B121007-05, 0.09 
R88018-07, 0.02 
R61010-02, 0.02 
B86100-07, -   
R141017-07, 0.06 
00004556-004-TW-S-005-B2, -   
00004556-004-CK-S-002-B1, -   
00004556-009-TW-S-004-B1, -   
D093001-01,
R120038-02, 0.02 
01027841-013-U-B-000, 0.05 
B121010-01, 0.02 
R141012-06, 0.04 
T139008-02, 0.18 
B132002-04, 0.18 
B15206-08, 1.42 
00004556-008-TW-S-004-B3, -   
R141028-06, 0.01 
00004556-007-CK-S-004-B2, 0.00 
D140002-01, 0.39 
C97001-01, 0.33 
