SKU,SKU_DESCRIPTION,CATEGORY,SUB_CATEGORY,COLOR_NAME,COLLECTION,SIZE,PLANNING_CATEGORY,LAUNCH_YEAR_SEASON,LAUNCH_DATE,PLANNING_STATUS,ASSORTMENT_STATUS,FULL_PRICE_RETAIL,VENDOR_NAME,VENDOR_COST,VENDOR_COST_USD,ITEM_MOQS
D104007-02,"Imabari Waffle Towel - Hand, White",BATH,TOWEL : HAND TOWEL,WHITE,IMABARI,,BATH - TOWELS,2024 SUMMER,2024-08-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,47,Eto Co.,8,8,
D104008-01,"Imabari Waffle Towel - Bath, Light Grey",BATH,TOWEL : BATH TOWEL,LIGHT GREY,IMABARI,,BATH - TOWELS,2024 SUMMER,2024-08-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,73,Eto Co.,26.5,26.5,
D121020-06,Mara Organic Waffle Robe - Medium - Rose,BATH,BATH ROBES,ROSE,MARA WAFFLE,MEDIUM,BATH - BATH ROBES,2023 SUMMER,2023-06-06 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,129,Veritas,43.95,43.95,
D62001-02,Marakkech Towels - 1 Hand Towel - Stone Grey,BATH,TOWEL : HAND TOWEL,STONE GREY,MARRAKECH,,BATH - TOWELS,2017 MORROCCO,2017-03-10 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,39,TAM (MAD),139.7,14.419007906,
D121019-04,Mara Organic Waffle Towels - 1 Bath Sheet - Spice,BATH,TOWEL : BATH SHEET,SPICE,MARA WAFFLE,,BATH - TOWELS,2023 SPRING,2023-01-26 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,69,Veritas,20.78,20.78,
D121004-03,Organic Plush Towels - 1 Face Towel - Natural,BATH,TOWEL : FACE TOWEL,NATURAL,ORGANIC PLUSH,,BATH - TOWELS,2020 TURKEY,2020-10-07 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,14,Veritas,2.24,2.24,
D121008-01,Aegean Cotton Towels - 1 Face Towel - Light Grey,BATH,TOWEL : FACE TOWEL,LIGHT GREY,AEGEAN,,BATH - TOWELS,2022 AEGEAN,2022-02-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,19,Veritas,2.9,2.9,
D143012-03,Riya Tissue Box - Square - Marble,BATH,BATH ACCESSORIES,MARBLE,RIYA,,BATH - ACCESSORIES,2024 SPRING,2024-03-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,89,Stonemen,9.44,9.44,
D103001-03,Hinoki Ridged Soap Dish Medium,BATH,BATH ACCESSORIES,NATURAL,HINOKI,,BATH - ACCESSORIES,2019 JAPAN,2019-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,45,Saikai,12,12,
D121006-01,Aegean Bath Mat - Cloud - Standard,BATH,MATS,CLOUD,AEGEAN,,BATH - TOWELS,2021 FALL,2021-08-19 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,89,Veritas,31.75,31.75,
D84020-02,Kaveri Linen Shower Curtain - Flax / Latte,BATH,SHOWER CURTAINS & ACCESSORIES,MULTI/MIXED,KAVERI,,BATH - ACCESSORIES,2022 SPRING,2022-04-07 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,129,Textile Artisans Guild aka Poornima,49,49,
D143007-03,Riya Soap Dispenser - Marble,BATH,BATH ACCESSORIES,MARBLE,RIYA,,BATH - ACCESSORIES,2024 SPRING,2024-03-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,69,Stonemen,8.87,8.87,
D121018-02,Mara Organic Waffle Towels - 1 Hand Towel - Midnight,BATH,TOWEL : HAND TOWEL,MIDNIGHT,MARA WAFFLE,,BATH - TOWELS,2023 SPRING,2023-01-26 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,29,Veritas,5.9,5.9,
D62003-02,Marakkech Towels - 1 Hand Towel - Ivory,BATH,TOWEL : HAND TOWEL,IVORY,MARRAKECH,,BATH - TOWELS,2017 MORROCCO,2017-03-10 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,39,TAM (MAD),139.7,14.419007906,
D121008-03,Aegean Cotton Towels - 1 Bath Towel - Light Grey,BATH,TOWEL : BATH TOWEL,LIGHT GREY,AEGEAN,,BATH - TOWELS,2022 AEGEAN,2022-02-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,49,Veritas,12.28,12.28,
D121009-01,Aegean Cotton Towels - 1 Face Towel - Tan,BATH,TOWEL : FACE TOWEL,TAN,AEGEAN,,BATH - TOWELS,2022 AEGEAN,2022-02-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,19,Veritas,2.9,2.9,
