SKU,DAILY ROS,ANNUAL UNITS
00004556-003-CK-W-003-B3,0.0,0.0
00004556-003-CK-W-004-B1,0.0,0.0
00004556-003-CK-W-004-B2,0.0,0.0
00004556-003-CK-W-004-B3,0.0,0.0
00004556-003-CK-W-005-B1,0.0,0.0
00004556-003-CK-W-005-B2,0.0,0.0
00004556-003-CK-W-005-B3,0.0,0.0
00004556-003-CK-W-006-B1,0.0,0.0
00004556-003-CK-W-006-B2,0.0,0.0
00004556-003-CK-W-006-B3,0.0,0.0
00004556-003-CK-W-007-B1,0.0,0.0
00004556-003-CK-W-007-B2,0.0,0.0
00004556-003-CK-W-007-B3,0.0,0.0
00004556-003-FL-M-001-B1,0.0,0.0
00004556-003-FL-M-001-B2,0.0,0.0
00004556-003-FL-M-001-B3,0.0,0.0
00004556-003-FL-M-002-B1,0.0,0.0
00004556-003-FL-M-002-B2,0.0,0.0
00004556-003-FL-M-002-B3,0.0,0.0
00004556-003-FL-M-003-B1,0.0,0.0
00004556-003-FL-M-003-B2,0.0,0.0
00004556-003-FL-M-003-B3,0.0,0.0
00004556-003-FL-M-004-B1,0.0,0.0
00004556-003-FL-M-004-B2,0.0,0.0
00004556-003-FL-M-004-B3,0.0,0.0
00004556-003-FL-M-005-B1,0.0,0.0
00004556-003-FL-M-005-B2,0.0,0.0
00004556-003-FL-M-005-B3,0.0,0.0
00004556-003-FL-M-006-B1,0.0,0.0
00004556-003-FL-M-006-B2,0.0,0.0
00004556-003-FL-M-006-B3,0.0,0.0
00004556-003-FL-M-007-B1,0.0,0.0
00004556-003-FL-M-007-B2,0.0,0.0
00004556-003-FL-M-007-B3,0.0,0.0
00004556-003-FL-W-001-B1,0.0,0.0
00004556-003-FL-W-001-B2,0.0,0.0
00004556-003-FL-W-001-B3,0.0,0.0
00004556-003-FL-W-002-B1,0.0,0.0
00004556-003-FL-W-002-B2,0.0,0.0
00004556-003-FL-W-002-B3,0.0,0.0
00004556-003-FL-W-003-B1,0.0,0.0
00004556-003-FL-W-003-B2,0.0,0.0
00004556-003-FL-W-003-B3,0.0,0.0
00004556-003-FL-W-004-B1,0.0,0.0
00004556-003-FL-W-004-B2,0.0,0.0
00004556-003-FL-W-004-B3,0.0,0.0
00004556-003-FL-W-005-B1,0.0,0.0
00004556-003-FL-W-005-B2,0.0,0.0
00004556-003-FL-W-005-B3,0.0,0.0
00004556-003-FL-W-006-B1,0.0,0.0
00004556-003-FL-W-006-B2,0.0,0.0
00004556-003-FL-W-006-B3,0.0,0.0
00004556-003-FL-W-007-B1,0.0,0.0
00004556-003-FL-W-007-B2,0.0,0.0
00004556-003-FL-W-007-B3,0.0,0.0
00004556-003-KI-M-001-B1,0.0,0.0
00004556-003-KI-M-001-B2,0.0,0.0
00004556-003-KI-M-001-B3,0.0,0.0
00004556-003-KI-M-002-B1,0.0,0.0
00004556-003-KI-M-002-B2,0.0,0.0
00004556-003-KI-M-002-B3,0.0,0.0
00004556-003-KI-M-003-B1,0.0,0.0
00004556-003-KI-M-003-B2,0.0,0.0
00004556-003-KI-M-003-B3,0.0,0.0
00004556-003-KI-M-004-B1,0.0,0.0
00004556-003-KI-M-004-B2,0.0,0.0
00004556-003-KI-M-004-B3,0.0,0.0
00004556-003-KI-M-005-B1,0.0,0.0
00004556-003-KI-M-005-B2,0.0,0.0
00004556-003-KI-M-005-B3,0.0,0.0
00004556-003-KI-M-006-B1,0.0,0.0
00004556-003-KI-M-006-B2,0.0,0.0
00004556-003-KI-M-006-B3,0.0,0.0
00004556-003-KI-M-007-B1,0.0,0.0
00004556-003-KI-M-007-B2,0.0,0.0
00004556-003-KI-M-007-B3,0.0,0.0
00004556-003-KI-W-001-B1,0.01,3.65
00004556-003-KI-W-001-B2,0.01,3.65
00004556-003-KI-W-001-B3,0.01,3.65
00004556-003-KI-W-002-B1,0.0,0.0
00004556-003-KI-W-002-B2,0.0,0.0
00004556-003-KI-W-002-B3,0.0,0.0
00004556-003-KI-W-003-B1,0.0,0.0
00004556-003-KI-W-003-B2,0.0,0.0
00004556-003-KI-W-003-B3,0.0,0.0
00004556-003-KI-W-004-B1,0.0,0.0
00004556-003-KI-W-004-B2,0.0,0.0
00004556-003-KI-W-004-B3,0.0,0.0
00004556-003-KI-W-005-B1,0.0,0.0
00004556-003-KI-W-005-B2,0.0,0.0
00004556-003-KI-W-005-B3,0.0,0.0
00004556-003-KI-W-006-B1,0.01,3.65
00004556-003-KI-W-006-B2,0.01,3.65
00004556-003-KI-W-006-B3,0.01,3.65
00004556-003-KI-W-007-B1,0.0,0.0
00004556-003-KI-W-007-B2,0.0,0.0
00004556-003-KI-W-007-B3,0.0,0.0
00004556-003-QU-M-001-B1,0.0,0.0
00004556-003-QU-M-001-B2,0.0,0.0
00004556-003-QU-M-001-B3,0.0,0.0
00004556-003-QU-M-002-B1,0.0,0.0
00004556-003-QU-M-002-B2,0.0,0.0
00004556-003-QU-M-002-B3,0.0,0.0
00004556-003-QU-M-003-B1,0.0,0.0
00004556-003-QU-M-003-B2,0.0,0.0
00004556-003-QU-M-003-B3,0.0,0.0
00004556-003-QU-M-004-B1,0.0,0.0
00004556-003-QU-M-004-B2,0.0,0.0
00004556-003-QU-M-004-B3,0.0,0.0
00004556-003-QU-M-005-B1,0.01,3.65
00004556-003-QU-M-005-B2,0.01,3.65
00004556-003-QU-M-005-B3,0.01,3.65
00004556-003-QU-M-006-B1,0.0,0.0
00004556-003-QU-M-006-B2,0.0,0.0
00004556-003-QU-M-006-B3,0.0,0.0
00004556-003-QU-M-007-B1,0.0,0.0
00004556-003-QU-M-007-B2,0.0,0.0
00004556-003-QU-M-007-B3,0.0,0.0
00004556-003-QU-W-001-B1,0.0,0.0
00004556-003-QU-W-001-B2,0.0,0.0
