Estimate Ship Date Date,Estimate ECSD Date,SKU,SKU Description,Expected Shipment Quantity
1/14/26,1/25/26,B15204-01,Stonewashed Organic Cotton Percale Sheet Set - Queen - White,68
1/14/26,1/25/26,B15204-05,Stonewashed Organic Cotton Percale Sheet Set - Queen - Aegean,72
1/14/26,1/25/26,B15206-06,Stonewashed Organic Cotton Percale Sheet Set - King - Seaglass,72
1/14/26,1/25/26,B15206-02,Stonewashed Organic Cotton Percale Sheet Set - King - Warm Grey,79
1/14/26,1/25/26,B15206-07,Stonewashed Organic Cotton Percale Sheet Set - King - Ivory,82
1/14/26,1/25/26,B15204-07,Stonewashed Organic Cotton Percale Sheet Set - Queen - Ivory,82
1/14/26,1/25/26,B15204-06,Stonewashed Organic Cotton Percale Sheet Set - Queen - Seaglass,83
1/14/26,1/25/26,B15204-02,Stonewashed Organic Cotton Percale Sheet Set - Queen - Warm Grey,103
1/14/26,1/25/26,B15206-05,Stonewashed Organic Cotton Percale Sheet Set - King - Aegean,120
1/14/26,1/25/26,B15206-01,Stonewashed Organic Cotton Percale Sheet Set - King - White,125
11/25/25,12/2/25,B86019-04,Stonewashed Linen Fitted Sheet - King - Slate Blue,5
11/25/25,12/2/25,B86003-09,Stonewashed Linen Sheet Set - King - Sienna,5
11/25/25,12/2/25,B86010-33,Stonewashed Linen Shams - King Set (S/2) - Emerald,5
11/25/25,12/2/25,B86018-02,Stonewashed Linen Fitted Sheet - Queen - Light Grey,5
11/25/25,12/2/25,B86017-05,Stonewashed Linen Fitted Sheet - Full - Graphite Thin Stripe,5
11/25/25,12/2/25,B86016-32,Stonewashed Linen Sheet Set - Cal-King - Barley Stripe,5
11/25/25,12/2/25,B86020-05,Stonewashed Linen Fitted Sheet - Cal-King - Graphite Thin Stripe,5
11/25/25,12/2/25,B86014-32,Stonewashed Linen Quilt - Full/Queen - Barley Stripe,5
11/25/25,12/2/25,B86002-31,Stonewashed Linen Sheet Set - Queen - Barley,5
11/25/25,12/2/25,B86016-29,Stonewashed Linen Sheet Set - Cal-King - Seaglass,5
11/25/25,12/2/25,B86002-32,Stonewashed Linen Sheet Set - Queen - Barley Stripe,5
11/25/25,12/2/25,B86017-01,Stonewashed Linen Fitted Sheet - Full - White,5
11/25/25,12/2/25,B86019-27,Stonewashed Linen Fitted Sheet - King - Ivory,5
11/25/25,12/2/25,B86008-33,Stonewashed Linen Duvet - King/Cal-King - Emerald,5
11/25/25,12/2/25,B86001-31,Stonewashed Linen Sheet Set - Full - Barley,5
11/25/25,12/2/25,B86011-02,Stonewashed Linen Euro Shams - 1 Sham - Light Grey,5
11/25/25,12/2/25,B86018-31,Stonewashed Linen Fitted Sheet - Queen - Barley,5
11/25/25,12/2/25,B86019-31,Stonewashed Linen Fitted Sheet - King - Barley,5
11/25/25,12/2/25,B86016-30,Stonewashed Linen Sheet Set - Cal-King - Espresso,5
11/25/25,12/2/25,B86014-31,Stonewashed Linen Quilt - Full/Queen - Barley,5
11/25/25,12/2/25,B86020-27,Stonewashed Linen Fitted Sheet - Cal-King - Ivory,5
11/25/25,12/2/25,B86019-06,Stonewashed Linen Fitted Sheet - King - Charcoal,5
11/25/25,12/2/25,B86019-19,Stonewashed Linen Fitted Sheet - King - Rose,5
11/25/25,12/2/25,B86012-31,Stonewashed Linen Pillowcases - Standard Set (S/2) - Barley,5
11/25/25,12/2/25,B86009-02,Stonewashed Linen Shams - Standard Set (S/2) - Light Grey,5
11/25/25,12/2/25,B86020-01,Stonewashed Linen Fitted Sheet - Cal-King - White,5
11/25/25,12/2/25,B86021-32,Stonewashed Linen Pillowcases with ties - Standard Set (S/2) - Barley Stripe,6
11/25/25,12/2/25,B86018-26,Stonewashed Linen Fitted Sheet - Queen - Aegean,6
11/25/25,12/2/25,B86001-29,Stonewashed Linen Sheet Set - Full - Seaglass,6
11/25/25,12/2/25,B86001-27,Stonewashed Linen Sheet Set - Full - Ivory,6
11/25/25,12/2/25,B86019-02,Stonewashed Linen Fitted Sheet - King - Light Grey,6
11/25/25,12/2/25,B86018-19,Stonewashed Linen Fitted Sheet - Queen - Rose,6
11/25/25,12/2/25,B86007-02,Stonewashed Linen Duvet - Full/Queen - LIght Grey,6
11/25/25,12/2/25,B86018-29,Stonewashed Linen Fitted Sheet - Queen - Seaglass,6
11/25/25,12/2/25,B86018-07,Stonewashed Linen Fitted Sheet - Queen - Olive,6
11/25/25,12/2/25,B86018-06,Stonewashed Linen Fitted Sheet - Queen - Charcoal,6
11/25/25,12/2/25,B86018-01,Stonewashed Linen Fitted Sheet - Queen - White,7
11/25/25,12/2/25,B86018-27,Stonewashed Linen Fitted Sheet - Queen - Ivory,7
11/25/25,12/2/25,B86012-33,Stonewashed Linen Pillowcases - Standard Set (S/2) - Emerald,7
11/25/25,12/2/25,B86011-04,Stonewashed Linen Euro Shams - 1 Sham - Slate Blue,7
11/25/25,12/2/25,B86019-09,Stonewashed Linen Fitted Sheet - King - Sienna,7
11/25/25,12/2/25,B86010-06,Stonewashed Linen Shams - King Set (S/2) - Charcoal,7
11/25/25,12/2/25,B86009-01,Stonewashed Linen Shams - Standard Set (S/2) - White,8
11/25/25,12/2/25,B86019-08,Stonewashed Linen Fitted Sheet - King - Sand Thin Stripe,8
11/25/25,12/2/25,B86012-02,Stonewashed Linen Pillowcases - Standard Set (S/2) - Light Grey,8
11/25/25,12/2/25,B86015-02,Stonewashed Linen Quilt - King/Cal-King - Light Grey,8
11/25/25,12/2/25,B86003-05,Stonewashed Linen Sheet Set - King - Graphite Thin Stripe,8
11/25/25,12/2/25,B86019-30,Stonewashed Linen Fitted Sheet - King - Espresso,8
11/25/25,12/2/25,B86008-31,Stonewashed Linen Duvet - King/Cal-King - Barley,8
11/25/25,12/2/25,B86001-26,Stonewashed Linen Sheet Set - Full - Aegean,8
11/25/25,12/2/25,B86018-30,Stonewashed Linen Fitted Sheet - Queen - Espresso,8
11/25/25,12/2/25,B86007-31,Stonewashed Linen Duvet - Full/Queen - Barley,9
11/25/25,12/2/25,B86015-31,Stonewashed Linen Quilt - King/Cal-King - Barley,9
11/25/25,12/2/25,B86010-31,Stonewashed Linen Shams - King Set (S/2) - Barley,9
11/25/25,12/2/25,B86019-26,Stonewashed Linen Fitted Sheet - King - Aegean,9
11/25/25,12/2/25,B86018-04,Stonewashed Linen Fitted Sheet - Queen - Slate Blue,9
11/25/25,12/2/25,B86011-31,Stonewashed Linen Euro Shams - 1 Sham - Barley,9
11/25/25,12/2/25,B86013-06,Stonewashed Linen Pillowcases - King Set (S/2) - Charcoal,9
11/25/25,12/2/25,B86019-10,Stonewashed Linen Fitted Sheet - King - Indigo Chambray,9
11/25/25,12/2/25,B86010-02,Stonewashed Linen Shams - King Set (S/2) - Light Grey,10
11/25/25,12/2/25,B86007-06,Stonewashed Linen Duvet - Full/Queen - Charcoal,10
11/25/25,12/2/25,B86019-01,Stonewashed Linen Fitted Sheet - King - White,10
11/25/25,12/2/25,B86016-27,Stonewashed Linen Sheet Set - Cal-King - Ivory,10
11/25/25,12/2/25,B86014-01,Stonewashed Linen Quilt - Full/Queen - White,11
